"","CB","total_accidentes","Acc_Especiales","Acc_Hpico","Acc_Muerto","Grupos"
"172","1108",1516,101,429,11,"Grupo 3"
"173","1109",1531,62,449,6,"Grupo 3"
"174","1110",715,43,268,2,"Grupo 2"
"175","1111",928,56,280,8,"Grupo 3"
"176","1112",680,33,201,2,"Grupo 2"
"177","1113",1382,73,440,3,"Grupo 3"
"178","1114",1966,108,685,9,"Grupo 4"
"179","1115",1182,68,420,5,"Grupo 3"
"180","1116",302,13,94,0,"Grupo 5"
"181","1117",798,46,233,7,"Grupo 3"
"182","1201",259,14,89,0,"Grupo 5"
"183","1202",811,63,276,4,"Grupo 3"
"184","1203",1128,58,328,5,"Grupo 3"
"185","1204",1103,61,351,8,"Grupo 3"
"186","1205",725,37,261,4,"Grupo 2"
"187","1206",255,26,76,1,"Grupo 5"
"188","1207",389,20,117,3,"Grupo 2"
"189","1208",543,23,196,3,"Grupo 2"
"190","1209",400,25,130,2,"Grupo 2"
"191","1210",154,13,50,1,"Grupo 5"
"192","1211",413,19,147,2,"Grupo 2"
"193","1212",280,16,94,0,"Grupo 5"
"194","1213",434,36,149,1,"Grupo 2"
"195","1301",189,11,66,0,"Grupo 5"
"196","1302",88,8,30,1,"Grupo 5"
"197","1303",26,2,6,1,"Grupo 5"
"198","1304",452,24,136,5,"Grupo 2"
"199","1305",39,1,12,0,"Grupo 5"
"200","1306",389,30,123,2,"Grupo 2"
"201","1307",161,13,51,2,"Grupo 5"
"202","1308",291,25,88,1,"Grupo 5"
"203","1309",726,42,268,4,"Grupo 2"
"204","1310",360,24,110,7,"Grupo 2"
"205","1311",159,11,53,2,"Grupo 5"
"206","1312",110,9,29,2,"Grupo 5"
"207","1313",111,7,41,2,"Grupo 5"
"208","1314",72,5,27,0,"Grupo 5"
"209","1315",98,10,28,1,"Grupo 5"
"210","1316",181,13,61,0,"Grupo 5"
"211","1317",42,3,21,0,"Grupo 5"
"212","1318",241,17,86,1,"Grupo 5"
"213","1319",65,9,16,1,"Grupo 5"
"214","1401",1190,57,368,7,"Grupo 3"
"215","1403",2230,97,740,11,"Grupo 4"
"216","1404",1051,61,336,2,"Grupo 3"
"217","1405",150,9,35,0,"Grupo 5"
"218","1406",543,26,164,0,"Grupo 2"
"219","1407",291,14,73,0,"Grupo 5"
"220","1408",266,14,89,0,"Grupo 5"
"221","1409",615,27,159,1,"Grupo 2"
"222","1410",465,31,149,0,"Grupo 2"
"223","1411",348,17,116,3,"Grupo 2"
"224","1412",188,10,47,1,"Grupo 5"
"225","1413",259,16,71,1,"Grupo 5"
"226","1414",282,17,91,1,"Grupo 5"
"227","1415",736,49,215,0,"Grupo 2"
"228","1416",499,28,127,1,"Grupo 2"
"229","1417",837,43,212,1,"Grupo 3"
"230","1418",1336,64,331,3,"Grupo 3"
"231","1419",1792,91,551,4,"Grupo 4"
"232","1420",301,21,81,0,"Grupo 5"
"233","1421",961,55,312,3,"Grupo 3"
"234","1422",1838,82,582,9,"Grupo 4"
"235","1423",974,58,305,7,"Grupo 3"
"236","1501",161,12,55,1,"Grupo 5"
"237","1502",1003,65,302,6,"Grupo 3"
"238","1503",1074,75,287,6,"Grupo 3"
"239","1504",3377,173,1196,21,"Grupo 1"
"240","1506",706,36,228,9,"Grupo 2"
"241","1507",4148,238,1458,24,"Grupo 1"
"242","1509",1924,118,668,18,"Grupo 4"
"243","1510",2319,117,798,8,"Grupo 4"
"244","1511",510,37,181,4,"Grupo 2"
"245","1601",1121,79,353,3,"Grupo 3"
"246","1602",1505,70,462,8,"Grupo 3"
"247","1603",2440,133,721,6,"Grupo 4"
"248","1604",464,33,137,2,"Grupo 2"
"249","1605",1009,57,298,9,"Grupo 3"
"250","1606",550,49,174,2,"Grupo 2"
"251","1607",413,23,134,1,"Grupo 2"
"252","1608",384,30,142,3,"Grupo 2"
"253","1609",176,12,49,0,"Grupo 5"
"254","1610",846,60,274,1,"Grupo 3"
"255","1611",425,32,132,2,"Grupo 2"
"256","1612",953,65,348,1,"Grupo 3"
"257","1613",354,31,123,3,"Grupo 2"
"258","1614",630,38,209,2,"Grupo 2"
"259","1615",435,27,143,1,"Grupo 2"
"260","1616",377,25,115,4,"Grupo 2"
"261","1617",348,21,99,0,"Grupo 2"
"262","1618",173,15,54,1,"Grupo 5"
"263","1619",83,6,20,0,"Grupo 5"
"264","1620",434,19,111,5,"Grupo 2"
"265","1621",821,40,259,8,"Grupo 3"
"266","5003",1,0,0,0,"Grupo 5"
"267","5089",10,3,2,1,"Grupo 5"
"268","6000",592,53,195,6,"Grupo 2"
"269","6001",39,4,13,1,"Grupo 5"
"270","6004",1,0,0,0,"Grupo 5"
"271","6005",1,0,1,0,"Grupo 5"
"272","6009",46,2,15,0,"Grupo 5"
"273","6010",99,6,29,0,"Grupo 5"
"274","6012",21,0,9,0,"Grupo 5"
"275","6014",17,0,5,0,"Grupo 5"
"276","6015",2,0,0,0,"Grupo 5"
"277","6016",1,0,0,0,"Grupo 5"
"278","6017",25,3,5,0,"Grupo 5"
"279","6084",234,22,97,2,"Grupo 5"
"280","6085",24,4,8,1,"Grupo 5"
"281","6087",79,4,27,0,"Grupo 5"
"282","6088",7,1,1,0,"Grupo 5"
"283","6089",23,1,8,0,"Grupo 5"
"284","6097",103,7,33,1,"Grupo 5"
"285","6098",754,59,281,9,"Grupo 2"
"286","7001",132,10,41,2,"Grupo 5"
"287","7002",85,1,20,0,"Grupo 5"
"288","7083",3,0,2,0,"Grupo 5"
"289","7084",47,6,22,0,"Grupo 5"
"290","7085",26,6,7,0,"Grupo 5"
"291","7087",87,11,33,1,"Grupo 5"
"292","7088",15,0,6,0,"Grupo 5"
"293","7096",47,5,9,0,"Grupo 5"
"294","7097",11,2,2,0,"Grupo 5"
