"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"723",NA,28,NA,"otro",110,81,"Semanal"
"724",NA,28,NA,"volcamiento",37,34,"Semanal"
"725",NA,29,NA,"atropello",68,52,"Semanal"
"726",NA,29,NA,"caida_ocupante",70,62,"Semanal"
"727",NA,29,NA,"choque",615,598,"Semanal"
"728",NA,29,NA,"otro",117,115,"Semanal"
"729",NA,29,NA,"volcamiento",32,24,"Semanal"
"730",NA,30,NA,"atropello",88,75,"Semanal"
"731",NA,30,NA,"caida_ocupante",80,85,"Semanal"
"732",NA,30,NA,"choque",574,557,"Semanal"
"733",NA,30,NA,"otro",98,128,"Semanal"
"734",NA,30,NA,"volcamiento",43,44,"Semanal"
"735",NA,31,NA,"atropello",75,60,"Semanal"
"736",NA,31,NA,"caida_ocupante",88,104,"Semanal"
"737",NA,31,NA,"choque",645,619,"Semanal"
"738",NA,31,NA,"incendio",1,1,"Semanal"
"739",NA,31,NA,"otro",132,147,"Semanal"
"740",NA,31,NA,"volcamiento",46,72,"Semanal"
"741",NA,32,NA,"atropello",96,103,"Semanal"
"742",NA,32,NA,"caida_ocupante",74,61,"Semanal"
"743",NA,32,NA,"choque",650,640,"Semanal"
"744",NA,32,NA,"otro",93,98,"Semanal"
"745",NA,32,NA,"volcamiento",28,26,"Semanal"
"746",NA,33,NA,"atropello",75,52,"Semanal"
"747",NA,33,NA,"caida_ocupante",86,78,"Semanal"
"748",NA,33,NA,"choque",572,482,"Semanal"
"749",NA,33,NA,"otro",119,90,"Semanal"
"750",NA,33,NA,"volcamiento",40,39,"Semanal"
"751",NA,34,NA,"atropello",85,75,"Semanal"
"752",NA,34,NA,"caida_ocupante",53,35,"Semanal"
"753",NA,34,NA,"choque",591,541,"Semanal"
"754",NA,34,NA,"incendio",1,2,"Semanal"
"755",NA,34,NA,"otro",102,116,"Semanal"
"756",NA,34,NA,"volcamiento",31,40,"Semanal"
"757",NA,35,NA,"atropello",86,80,"Semanal"
"758",NA,35,NA,"caida_ocupante",87,97,"Semanal"
"759",NA,35,NA,"choque",610,531,"Semanal"
"760",NA,35,NA,"otro",77,78,"Semanal"
"761",NA,35,NA,"volcamiento",28,31,"Semanal"
"762",NA,36,NA,"atropello",94,100,"Semanal"
"763",NA,36,NA,"caida_ocupante",97,138,"Semanal"
"764",NA,36,NA,"choque",587,591,"Semanal"
"765",NA,36,NA,"otro",132,147,"Semanal"
"766",NA,36,NA,"volcamiento",27,22,"Semanal"
"767",NA,37,NA,"atropello",68,43,"Semanal"
"768",NA,37,NA,"caida_ocupante",81,87,"Semanal"
"769",NA,37,NA,"choque",613,649,"Semanal"
"770",NA,37,NA,"otro",130,164,"Semanal"
"771",NA,37,NA,"volcamiento",43,49,"Semanal"
"772",NA,38,NA,"atropello",80,64,"Semanal"
"773",NA,38,NA,"caida_ocupante",96,111,"Semanal"
"774",NA,38,NA,"choque",631,602,"Semanal"
"775",NA,38,NA,"otro",112,124,"Semanal"
"776",NA,38,NA,"volcamiento",44,52,"Semanal"
"777",NA,39,NA,"atropello",94,66,"Semanal"
"778",NA,39,NA,"caida_ocupante",63,54,"Semanal"
"779",NA,39,NA,"choque",583,585,"Semanal"
"780",NA,39,NA,"otro",132,138,"Semanal"
"781",NA,39,NA,"volcamiento",46,41,"Semanal"
"782",NA,40,NA,"atropello",83,78,"Semanal"
"783",NA,40,NA,"caida_ocupante",61,67,"Semanal"
"784",NA,40,NA,"choque",604,562,"Semanal"
"785",NA,40,NA,"otro",105,107,"Semanal"
"786",NA,40,NA,"volcamiento",48,38,"Semanal"
"787",NA,41,NA,"atropello",84,63,"Semanal"
"788",NA,41,NA,"caida_ocupante",68,61,"Semanal"
"789",NA,41,NA,"choque",550,511,"Semanal"
"790",NA,41,NA,"otro",100,86,"Semanal"
"791",NA,41,NA,"volcamiento",44,55,"Semanal"
"792",NA,42,NA,"atropello",81,72,"Semanal"
"793",NA,42,NA,"caida_ocupante",75,80,"Semanal"
"794",NA,42,NA,"choque",609,585,"Semanal"
"795",NA,42,NA,"otro",115,147,"Semanal"
"796",NA,42,NA,"volcamiento",49,54,"Semanal"
"797",NA,43,NA,"atropello",90,78,"Semanal"
"798",NA,43,NA,"caida_ocupante",57,57,"Semanal"
"799",NA,43,NA,"choque",632,591,"Semanal"
"800",NA,43,NA,"incendio",1,2,"Semanal"
"801",NA,43,NA,"otro",111,97,"Semanal"
"802",NA,43,NA,"volcamiento",53,56,"Semanal"
"803",NA,44,NA,"atropello",98,100,"Semanal"
"804",NA,44,NA,"caida_ocupante",86,67,"Semanal"
"805",NA,44,NA,"choque",544,504,"Semanal"
"806",NA,44,NA,"otro",90,86,"Semanal"
"807",NA,44,NA,"volcamiento",40,32,"Semanal"
"808",NA,45,NA,"atropello",97,110,"Semanal"
"809",NA,45,NA,"caida_ocupante",80,89,"Semanal"
"810",NA,45,NA,"choque",576,551,"Semanal"
"811",NA,45,NA,"otro",101,98,"Semanal"
"812",NA,45,NA,"volcamiento",27,23,"Semanal"
"813",NA,46,NA,"atropello",78,66,"Semanal"
"814",NA,46,NA,"caida_ocupante",81,89,"Semanal"
"815",NA,46,NA,"choque",587,626,"Semanal"
"816",NA,46,NA,"otro",100,129,"Semanal"
"817",NA,46,NA,"volcamiento",50,44,"Semanal"
"818",NA,47,NA,"atropello",79,57,"Semanal"
"819",NA,47,NA,"caida_ocupante",74,61,"Semanal"
"820",NA,47,NA,"choque",585,527,"Semanal"
"821",NA,47,NA,"incendio",1,3,"Semanal"
"822",NA,47,NA,"otro",114,104,"Semanal"
"823",NA,47,NA,"volcamiento",39,44,"Semanal"
"824",NA,48,NA,"atropello",95,51,"Semanal"
"825",NA,48,NA,"caida_ocupante",63,68,"Semanal"
"826",NA,48,NA,"choque",442,416,"Semanal"
